Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
,hypphy,NCountryTrail,Chequamegon-Nicolet National Forest,46.433,-91.333,Rainbow Lake Wilderness,89.0,1992.0,0.9,5.1,288.7,,739.0,3444.0,0.103,1200.0,,(L.) Nyl.,Tube lichen,most tolerant,,
Platismatia glauca,plagla,1040100,Umpqua National Forest,42.84,-122.96,,6.0,1999.0,3.84,9.52,182.78,0.316,930.92,1921.22,0.058,2600.0,-0.049,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia enteromorpha,hypent,MTHW11,Mt. Hood National Forest,45.324,-121.906,Mount Hood Wilderness,6.0,1993.0,2.3,5.1,106.1,0.76,1113.0,3030.0,0.103,1700.0,,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Bryoria fremontii,bryfre,1058144,Umpqua National Forest,43.28,-122.22,,6.0,1997.0,,,,,,,0.049,5500.0,-0.201,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Platismatia glauca,plagla,1140172,Mt. Hood National Forest,45.3,-121.7,,6.0,1994.0,,,,0.42,,,0.048,4500.0,-0.187,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,Skidmore73,George Washington and Jefferson National Forest,38.549,-79.174,,89.0,1995.0,,,,1.3,,,0.15,2736.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Hypogymnia imshaugii,hypims,SiskiyW1,Rogue River-Siskiyou National Forests,41.906,-123.646,Siskiyou Wilderness,6.0,2011.0,0.96,2.32,1097.4,0.589,641.37,1675.9,0.046,5435.0,-0.52,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Alectoria sarmentosa,alesar,1082160,Deschutes National Forest,43.87,-121.93,Three Sisters Wilderness,6.0,1996.0,0.28,0.92,550.0,0.28,592.0,1620.0,0.026,5600.0,-0.378,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,CamasCk,Okanogan-Wenatchee National Forest,47.481,-120.621,,6.0,2003.0,1.956,1.554,70.89,0.76,507.65,2153.0,0.06,1900.0,-0.077,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,alesarmth,,,,,,6.0,1997.0,0.48,1.38,96.16,0.385,440.6,1583.0,0.04,,,,,,,
,peach1547,,,,,,6.0,2011.0,0.54,6.95,62.61,2.84,1774.1,16343.0,0.135,,,,,,,
Sphaerophorus globosus,sphglo,1108044,Siuslaw National Forest,44.51,-123.92,,6.0,1996.0,1.02,2.28,24.34,0.4,736.0,1644.0,0.047,600.0,-0.565,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,1034152,Fremont-Winema National Forests,42.69,-122.09,,6.0,2010.0,0.463,1.264,263.23,0.737,864.96,2577.9,0.061,4800.0,-0.468,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,NancyCk,Colville N.F.,48.662,-118.15,,6.0,2003.0,1.274,1.866,89.666,0.79,675.57,2611.7,0.09,1950.0,0.276,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Lobaria oregana,lobore,1186172,Gifford Pinchot National Forest,46.43,-121.67,,6.0,1995.0,,,,1.98,,,,2600.0,-0.325,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia imshaugii,hypims,1046204,Fremont-Winema National Forests,42.98,-121.21,,6.0,2003.0,1.401,3.496,731.95,0.93,1018.6,2952.1,0.09,6000.0,,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,moss,,,,,,6.0,2009.0,,,,0.112,,,0.112,,,,,,,
,rhimel,UintaF08,Uinta-Wasatch-Cache National Forest,40.317,-111.58,,14.0,2002.0,1.51,3.38,12.8,4.09,1503.0,1140.0,0.036,9300.0,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
Letharia vulpina,letvul,EagleCrag,Lake Tahoe Basin Management Unit,33.383,-116.95,Agua Tibia Wilderness,5.0,1989.0,0.62,2.19,104.0,,2920.0,4730.0,,4600.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1096164,Willamette National Forest,44.22,-121.86,Three Sisters Wilderness,6.0,1996.0,1.38,2.52,451.8,0.38,979.0,1625.0,0.039,6000.0,-0.525,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1052136,Umpqua National Forest,43.14,-122.35,,6.0,1999.0,2.18,6.06,409.56,,911.82,1706.02,,4000.0,-0.011,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Bryoria fremontii,bryfre,1110180,Deschutes National Forest,44.56,-121.58,,6.0,1995.0,1.3,2.1,35.2,0.89,842.0,2606.0,0.088,4600.0,-0.22,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,rlv,,,,,,6.0,2010.0,,,,2.23,,,0.233,,,,,,,
Platismatia glauca,plagla,1170156,Gifford Pinchot National Forest,46.04,-121.97,,6.0,2005.0,0.766,6.767,166.97,0.553,859.77,2558.0,0.075,1800.0,-0.382,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1066152,Deschutes National Forest,43.48,-122.08,Diamond Peak Wilderness,6.0,1995.0,,,,0.28,,,,5700.0,-0.942,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,pine1575,,,,,,6.0,1997.0,,,,1.2,,,0.197,,,,,,,
,crm482,,,,,,6.0,2004.0,2.472,6.871,29.855,,652.51,3444.7,,,,,,,,
Alectoria sarmentosa,alesar,1136164,Mt. Hood National Forest,45.2,-121.84,,6.0,1994.0,0.4,1.5,269.1,0.42,348.0,1386.0,0.035,3200.0,-0.206,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rhichr,SanRio31,BLM Public Domain Land,38.197,-106.485,,14.0,1997.0,3.8,5.4,48.0,,1200.0,2700.0,0.069,9600.0,,(Sm.) Zopf,Rock brooch,sensitive,rhichr,Rhizoplaca chrysoleuca
,parcap,BelfastTrA,George Washington and Jefferson National Forest,37.577,-79.443,James River Face Wilderness,89.0,1987.0,,,,,,,0.06,1402.0,,,,,parcap,Parmelia caperata
Platismatia glauca,plagla,1168152,Gifford Pinchot National Forest,45.99,-122.04,,6.0,2005.0,0.601,3.141,203.81,0.532,534.42,1965.2,0.097,2700.0,-0.639,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,Salmon48,Salmon-Challis National Forest,44.527,-115.285,,14.0,1995.0,2,1.75,172.0,,850.0,2200.0,0.035,5700.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,CRG538,Columbia River Gorge National Scenic Area,45.739,-121.808,,6.0,2003.0,1.533,4.331,83.395,1.3,969.15,3042.3,0.13,380.0,0.037,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1074156,Willamette National Forest,43.68,-122.01,,6.0,2005.0,0.28,2.918,277.13,,320.08,1747.2,,5800.0,-0.763,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,TNF080,Tongass N.F.,56.154,-134.2,,10.0,1990.0,,,,,,,0.022,49.0,-0.854,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Bryoria fremontii,bryfre,1050156,Fremont-Winema National Forests,43.09,-122.02,,6.0,2009.0,0.407,2.721,266.25,1.229,987.65,3730.3,0.072,5500.0,-0.852,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,flacap,Monong037B,Monongahela National Forest,39.001,-79.622,Otter Creek Wilderness,89.0,1992.0,,5.339,188.847,1.336,645.548,2358.37,0.137,3460.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Alectoria sarmentosa,alesar,TNF551,Tongass N.F.,55.464,-133.142,,10.0,2009.0,,,,0.591,,,0.056,10.0,-1.116,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1060120,Umpqua National Forest,43.34,-122.62,,6.0,2007.0,0.28,1.047,195.22,0.445,650.92,2311.7,0.028,3600.0,-0.535,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1102164,Willamette National Forest,44.37,-121.86,,6.0,1995.0,0.9,10.4,279.7,0.45,781.0,1716.0,0.035,4700.0,-0.478,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,CRG75,Columbia River Gorge National Scenic Area,45.727,-121.876,,6.0,2009.0,0.714,3.449,84.136,0.766,630.61,2689.8,0.054,1200.0,0.305,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,Stark602,Wallowa-Whitman National Forest,45.216,-118.509,,6.0,2000.0,1.928,4.501,87.613,0.71,1245.7,2281.6,0.076,4120.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1064156,Deschutes National Forest,43.43,-122.01,,6.0,2005.0,0.515,0.984,372.43,0.49,509.56,2099.9,0.042,5400.0,-0.867,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1024148,Fremont-Winema National Forests,42.45,-122.16,,6.0,1999.0,0.68,5.6,110.82,0.544,554.52,2246.2,0.042,4400.0,-0.152,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,alesarmth,,,,,,6.0,1997.0,0.48,1.48,99.46,0.316,467.3,1648.0,0.046,,,,,,,
,flacap,Monong085A,Monongahela National Forest,39.02,-79.384,Dolly Sods Wilderness,89.0,1987.0,4.073,8.838,201.1,,661.3,2804.0,0.15,3722.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Alectoria sarmentosa,alesar,1062156,Deschutes National Forest,43.38,-122.01,,6.0,1997.0,1.38,3.82,225.8,0.391,427.8,1396.0,0.031,6100.0,-0.604,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1140160,Mt. Hood National Forest,45.3,-121.91,Salmon-Huckleberry Wilderness,6.0,2011.0,,,,,,,,3000.0,-0.149,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,LocustSpring153,George Washington and Jefferson National Forest,38.584,-79.642,,89.0,1995.0,,,,1.2,,,0.14,3822.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1118152,Willamette National Forest,44.76,-122.06,,6.0,1997.0,,,,0.503,,,,4000.0,-0.065,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,claran,TNF114,Tongass N.F.,58.778,-135.032,,10.0,1990.0,0.7,0.51,49.0,,270.0,993.0,0.031,79.0,-1.068,(L.) Nyl.,Reindeer lichen,sensitive,,
,rhimel,UintaF04,Uinta National Forest,40.272,-111.693,,14.0,2002.0,4.64,10.9,48.9,1.25,657.0,2650.0,0.094,6000.0,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
,flacap,Monong060A,Monongahela National Forest,38.977,-79.678,Otter Creek Wilderness,89.0,1987.0,4.2,15.01,191.3,,965.3,2505.0,0.144,3621.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,ARM175,Columbia River Gorge National Scenic Area,45.653,-121.413,,6.0,2009.0,1.292,5.268,33.063,1.618,654.23,2679.8,0.128,339.0,0.773,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,Hyslp515,Albany,44.644,-123.217,,6.0,2000.0,2.479,5.894,151.82,0.97,999.34,3472.3,0.099,290.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,BullRun3,Mt. Hood National Forest,45.447,-122.153,,6.0,1998.0,1,27.32,89.52,0.493,955.6,2710.0,0.074,880.0,-0.025,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,,,,,,6.0,2009.0,,,,0.086,,,0.086,,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,rice 1008,,,,,,6.0,2012.0,,,,,,,0.094,,,,,,,
,pine1575,,,,,,6.0,1995.0,1.7,3.0,699.4,1.15,1172.0,3634.0,0.125,,,,,,,
Platismatia glauca,plagla,1058112,Umpqua National Forest,43.29,-122.76,,6.0,1999.0,0.82,11.1,691.3,0.311,777.08,1711.34,,2600.0,-0.597,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia enteromorpha,hypent,TNF544,Tongass N.F.,59.497,-135.23,,10.0,2009.0,,,,0.763,,,0.075,101.0,-1.092,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,xancum,SanRio12,San Juan National Forest,37.643,-108.165,,14.0,1994.0,6.22,13.3,,,1280.0,4400.0,0.178,10600.0,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,alesarmth,,,,,,6.0,1994.0,0.3,1.0,96.2,,442.0,1543.0,0.039,,,,,,,
Platismatia glauca,plagla,MTHW09,Mt. Hood National Forest,45.388,-121.784,Mount Hood Wilderness,6.0,1993.0,3,2.7,137.3,0.45,767.0,1929.0,0.066,3800.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,orchard1031,,,,,,6.0,2011.0,,,,,,,0.168,,,,,,,
Alectoria sarmentosa,alesar,TNF132,Tongass N.F.,55.257,-131.773,,10.0,1991.0,0.16,0.72,40.29,0.19,349.47,1203.61,0.019,6.0,-1.04,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,ARM147,Columbia River Gorge National Scenic Area,45.683,-121.406,,6.0,2004.0,2.026,6.273,54.238,1.25,718.8,2545.6,0.115,200.0,1.563,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarmth,,,,,,6.0,1999.0,,,,,,,0.045,,,,,,,
Alectoria sarmentosa,alesar,1042116,Umpqua National Forest,42.89,-122.69,,6.0,1999.0,0.52,5.92,127.22,0.373,656.16,1907.3,0.04,4500.0,0.128,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1132152,Mt. Hood National Forest,45.11,-122.05,,6.0,1994.0,,,,0.42,,,0.033,1800.0,-0.087,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Lobaria oregana,lobore,1148160,Mt. Hood National Forest,45.5,-121.91,,6.0,1995.0,0.5,5.2,96.2,1.56,1472.0,6062.0,0.094,2500.0,-0.444,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Letharia vulpina,letvul,BlueMtn4,Umatilla National Forest,45.986,-118.056,,6.0,2008.0,1.004,3.191,43.751,1.73,755.33,3243.9,0.123,3080.0,0.472,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1064128,Umpqua National Forest,43.43,-122.49,,6.0,2007.0,0.28,0.855,180.55,0.415,280.12,1481.8,0.028,4800.0,-0.32,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,evemes,BournPond,Green Mountain and Finger Lakes National Forests,43.1,-72.983,Lye Brook Wilderness,89.0,1993.0,0.4,1.7,27.5,,422.0,1754.0,0.083,2540.0,,Nyl.,Antler lichen,,evemes,Evernia mesomorpha
,rice1006,,,,,,6.0,2006.0,,,,1.038,,,0.105,,,,,,,
,edta,,,,,,6.0,2006.0,,,,9.469,,,,,,,,,,
Platismatia glauca,plagla,1168164,Gifford Pinchot National Forest,45.99,-121.83,Indian Heaven Wilderness,6.0,1997.0,1.84,20.2,279.7,,600.7,1475.0,,4200.0,-0.42,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,TNF086A,Tongass N.F.,55.094,-130.646,Misty Fjords Wilderness,10.0,1990.0,0.1,0.62,135.0,,621.0,1625.0,0.025,15.0,0.023,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1026168,Fremont-Winema National Forests,42.49,-121.83,,6.0,1997.0,1.16,2.5,49.3,1.04,605.4,2340.0,0.067,5300.0,0.171,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1134144,Mt. Hood National Forest,45.16,-122.19,,6.0,1996.0,1.42,3.88,77.36,0.47,1025.0,2130.0,0.067,1800.0,-0.144,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarmth,,,,,,6.0,2003.0,0.654,2.213,90.145,0.43,424.08,1488.1,0.05,,,,,,,
Platismatia glauca,plagla,ARM162,Columbia River Gorge National Scenic Area,45.682,-121.843,,6.0,1994.0,3.8,15.0,49.9,0.64,1189.0,2956.0,0.078,360.0,0.261,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1160160,Gifford Pinchot National Forest,45.79,-121.9,,6.0,2005.0,1.236,6.099,204.31,0.659,614.97,2456.5,0.102,1000.0,-0.177,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,evepru,ARM157,Columbia River Gorge National Scenic Area,45.554,-122.19,,6.0,2004.0,,,,1.4,,,,50.0,0.776,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,usnlap,56_TARG_2011,,43.782,-110.95,,14.0,2011.0,,,,1.42,,,0.106,8363.0,,Vainio,Beard lichen,,usnlap,Usnea lapponica
Letharia vulpina,letvul,1038164,Fremont-Winema National Forests,42.79,-121.89,,6.0,2000.0,0.789,1.077,100.47,0.605,447.6,2054.4,0.05,4900.0,-0.303,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,ARM158,Columbia River Gorge National Scenic Area,45.579,-122.125,,6.0,1994.0,3,15.5,55.3,1.14,1798.0,4598.0,0.126,40.0,0.718,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,parstu,MattsCkA,George Washington and Jefferson National Forest,37.594,-79.394,James River Face Wilderness,89.0,1987.0,,,,,,,0.27,1026.0,,(Taylor) Hale,Eyelash lichen,,,
Hypogymnia inactiva,hypina,1106148,Willamette National Forest,44.47,-122.13,,6.0,1995.0,1.4,52.4,570.3,0.48,1552.0,3138.0,0.054,2800.0,-0.149,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,BlueMtn3,Umatilla National Forest,45.95,-118.035,,6.0,2008.0,1.435,3.5,62.913,1.0,720.08,2431.9,0.087,4600.0,0.254,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,peach1547,,,,,,6.0,2007.0,,,,2.99,,,0.154,,,,,,,
Letharia vulpina,letvul,1144404,Wallowa-Whitman National Forest,45.28,-117.65,Eagle Cap Wilderness,6.0,2010.0,0.367,1.353,188.93,0.86,720.05,2632.5,0.069,4800.0,-0.04,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Bryoria fremontii,bryfre,1076156,Willamette National Forest,43.73,-122.01,,6.0,1997.0,0.32,5.6,323.5,0.295,1010.0,2238.0,0.033,5500.0,-0.368,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Alectoria sarmentosa,alesar,1186172,Gifford Pinchot National Forest,46.43,-121.67,,6.0,1995.0,0.4,1.5,162.9,0.37,539.0,2108.0,0.047,2600.0,-0.325,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,orchard1027,,,,,,6.0,2009.0,,,,,,,0.174,,,,,,,
Bryoria fremontii,bryfre,1086184,Deschutes National Forest,43.97,-121.53,,6.0,2004.0,1.926,2.613,61.287,1.22,1045.7,3142.8,0.069,5400.0,-0.649,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Hypogymnia inactiva,hypina,Alsea615,Siuslaw National Forest,44.392,-123.628,,6.0,2000.0,,,,0.502,,,0.066,780.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,TNF510A,Tongass N.F.,55.879,-133.869,Warren Island Wilderness,10.0,2005.0,1.128,2.981,36.133,0.792,724.42,2383.6,0.084,3.0,0.137,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,2196162,Gifford Pinchot National Forest,46.68,-121.85,,6.0,1999.0,0.793,1.474,326.47,0.328,618.0,1852.6,0.042,3000.0,-0.115,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,,,,,,6.0,2009.0,,,,0.124,,,0.124,,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1126148,Mt. Hood National Forest,44.96,-122.13,,6.0,1995.0,,,,,,,0.056,2000.0,0.209,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1074156,Willamette National Forest,43.68,-122.01,,6.0,2005.0,0.28,2.423,287.32,0.462,338.33,1797.8,0.092,5800.0,-0.196,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,parcap,MattsCkA,George Washington and Jefferson National Forest,37.594,-79.394,James River Face Wilderness,89.0,1987.0,,,,,,,0.16,1026.0,,,,,parcap,Parmelia caperata
Lobaria oregana,lobore,1182156,Gifford Pinchot National Forest,46.34,-121.96,,6.0,1995.0,1.6,9.8,96.5,1.77,1744.0,5869.0,0.115,2600.0,-0.692,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Hypogymnia inactiva,hypina,1096040,Siuslaw National Forest,44.22,-123.99,,6.0,1995.0,0.8,9.3,104.4,0.53,985.0,2842.0,0.07,1500.0,-0.492,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,cetlae,,,,,,6.0,2002.0,0.417,1.598,378.922,0.25,944.278,3258.708,0.028,,,Rass.,Icelandmoss,,cetlae,Cetraria laevigata
,spec chk,,,,,,6.0,2012.0,1.891,1.954,2.821,,4.194,4.231,,,,,,,,
Alectoria sarmentosa,alesar,1036100,Umpqua National Forest,42.75,-122.96,,6.0,2009.0,0.28,1.762,82.106,0.737,585.72,2213.0,0.056,3900.0,-0.425,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,FIA134,Gifford Pinchot National Forest,45.808,-121.903,,6.0,2000.0,3.139,3.413,534.37,0.453,1180.7,3112.9,0.068,,-0.015,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Alectoria sarmentosa,alesar,1106164,Willamette National Forest,44.46,-121.86,Mount Jefferson Wilderness,6.0,1995.0,,,,,,,0.037,5500.0,-0.273,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,letcol,1074220,Deschutes National Forest,43.66,-120.92,,6.0,1995.0,0.7,2.0,94.0,0.75,582.0,2203.0,0.068,5000.0,-0.709,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
,bcr482,,,,,,6.0,2012.0,2.961,7.212,,,,,,,,,,,,
,hypphy,RkyBrRidgeB,White Mountain National Forest,44.2,-71.267,,89.0,1993.0,0.6,3.8,161.4,,602.0,3174.0,0.104,3450.0,,(L.) Nyl.,Tube lichen,most tolerant,,
,rhimel,Dinosr10,Dinosaur National Monument,40.712,-108.898,,14.0,1992.0,7.4,7.1,48.0,,1090.0,3300.0,0.1,5500.0,,(DC.) Leuckert & Poelt,Rock brooch,sensitive,rhimel,Rhizoplaca melanophthalma
Alectoria sarmentosa,alesar,1202156,Gifford Pinchot National Forest,46.83,-121.95,,6.0,1994.0,,,,0.37,,,0.04,3600.0,-0.349,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,peach1547,,,,,,6.0,2008.0,1.054,4.004,78.887,2.9,1400.3,23867.0,0.158,,,,,,,
Platismatia glauca,plagla,1070132,Willamette National Forest,43.63,-122.42,,6.0,2005.0,0.809,2.717,107.51,0.563,832.21,2374.1,0.063,2000.0,-0.377,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,apple1515,,,,,,6.0,2006.0,0.555,6.376,54.25,,1600.7,17470.0,0.169,,,,,,,
,bcr 482,,,,,,6.0,2012.0,2.301,6.809,30.577,1.85,641.08,3668.8,,,,,,,,
Alectoria sarmentosa,alesar,1070148,Willamette National Forest,43.58,-122.15,Diamond Peak Wilderness,6.0,2005.0,0.28,2.358,235.65,0.408,356.83,1798.5,0.091,5000.0,-0.335,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,TNF571,Tongass N.F.,57.672,-133.474,Chuck River Wilderness,10.0,2011.0,0.35,1.92,1316.2,0.617,994.42,1747.5,0.058,30.0,-1.235,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
shrubby Usnea,usnea,MillrSyl,Maytown,46.908,-122.922,,6.0,1996.0,0.52,2.42,63.68,,634.0,2872.0,,110.0,0.31,,Beard lichen,,,shrubby Usnea
Alectoria sarmentosa,alesar,1166176,Gifford Pinchot National Forest,45.94,-121.62,,6.0,1996.0,0.36,1.84,340.6,0.62,447.0,1909.0,0.067,2700.0,-0.664,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1040188,Fremont-Winema National Forests,42.83,-121.49,,6.0,1999.0,0.54,3.14,82.12,,566.28,2644.4,,4700.0,-0.416,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,rhipel,UintaF2A,Klamath National Forest,41.83,-122.63,,14.0,1995.0,6.57,11.2,42.8,,,2170.0,0.082,,,(Ramond) Leuckert & Poelt,Rock brooch,,rhipel,Rhizoplaca peltata
Platismatia glauca,plagla,Starkey6,Wallowa-Whitman National Forest,45.22,-118.475,,6.0,1998.0,1.92,21.5,98.68,0.372,1128.0,2264.0,0.059,3825.0,-0.137,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1142180,Mt. Hood National Forest,45.35,-121.56,,6.0,1994.0,0.5,1.2,213.7,0.42,349.0,1517.0,0.029,3500.0,-0.392,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
